Accession,Symbol,BT549,HS578T,MCF7,MCF7ADR,MDAMB231,MDAMB435,T47D,SF268,SF295,SF539,SNB19,SNB75,U251,COLO205,HCC2998,HCT116,HCT15,HT29,KM12,SW620,CCRFCEM,HL60,K562,MOLT4,RPMI8226,SR,LOXIMVI,M14,MALME3M,SKMEL2,SKMEL28,SKMEL5,UACC257,UACC62,A549,EKVX,H226,H23,H322M,H460,H522,HOP62,HOP92,IGROV1,OVCAR3,OVCAR4,OVCAR5,OVCAR8,SKOV3,DU145,PC3,7860,A498,ACHN,CAKI1,RXF393,SN12C,TK10,UO31
IPI00000877,HYOU1,20841000,15463000,9048100,27947000,9169300,5901900,12565000,145530000,16601000,12703000,9087200,11436000,31491000,11072000,14639000,2694400,5717700,18485000,7197300,19312000,7618700,12145000,7083500,6253700,23754000,40383000,4135800,39267000,5872100,2744400,1460800,19452000,75292000,48960000,4064700,535520,33745000,10901000,388350,12838000,5954300,1251300,6513000,804980,2566000,89760000,16249000,3335600,10747000,17373000,5068400,1662900,10328000,3441000,2983000,20709000,8452300,1960100,10011000
IPI00000897,HELZ,0,0,20600,349130,0,0,0,0,0,2509.4,0,0,0,0,0,1642.4,0,14557,0,0,1331,0,0,3628.7,0,66492,0,92217,0,0,0,3492.9,0,0,0,0,242510,0,0,0,0,0,0,0,0,0,0,0,0,139730,43086,0,105090,0,0,0,6287.7,0,0
IPI00000948,TBL2,630940,529780,2789700,531680,705350,0,95485,485610,219500,952380,5727800,648090,1465300,1338000,3774600,746350,242100,1171000,1292200,3581900,0,0,882340,0,0,484190,0,1933700,2786300,36552,19392,3644000,1247000,5726100,202360,40501,3214500,1055300,4880100,1734700,1004700,279810,3305800,114230,0,1255500,4051300,115690,92338,1720700,243880,0,3837000,1371200,556150,1572800,21087,378450,658360
IPI00000949,CRYM,0,0,0,0,0,0,0,0,0,0,0,5545600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247070,0,0,0,0,0
IPI00000980,TOMM7,8170200,0,0,7084000,5059100,3488300,42885,0,0,0,0,131740,0,0,1588400,0,0,6280500,0,0,184230,7775400,0,0,0,3630500,3399500,9541200,362520,0,34184,2818900,0,0,1165800,0,585820,0,813490,0,2486000,164780,4315800,0,0,0,0,3765100,0,5396100,0,0,7367900,0,0,0,158190,1947200,0
IPI00001022,PNKD,133270,226350,476510,1639500,0,0,0,74494,1154100,473980,544900,46894,184560,401190,287330,165400,8686.8,535780,150060,354170,172390,493200,311240,0,89684,173700,130810,1019000,254480,73927,0,307020,515640,2998100,348100,0,190540,133890,112480,342480,450570,0,263720,16938,573000,1198300,117780,325840,517100,413980,781780,0,47188,37273,44090,0,481630,0,0
IPI00001053,MMACHC,0,0,0,0,0,0,0,657570,0,0,0,0,0,0,0,0,0,0,22897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPI00001091,AFG3L2,638450,797590,3089800,10576000,733800,497100,237280,1377700,1397400,557060,6682900,234250,1789200,114670,2731000,1804100,663760,2150000,876280,1389200,50468,928620,1778700,408960,3957000,7351000,369020,33109000,1097900,614620,420840,4495600,27914000,5397700,2213500,68886,3589900,2401500,263090,2202200,3468300,302230,1467100,1040500,537500,4724300,24049,2804500,3684900,2883000,13836000,2463200,359410,669340,1971500,1393300,4753500,642390,479580
IPI00001102,NDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66662,0,0,0,0,0,0,0,0,0,0,0
IPI00001141,TIMM22,1308300,281810,128800,2091900,1181400,506980,599860,0,0,436860,1151100,53800,640120,0,250060,156080,91856,175400,493470,2358100,45554,266680,702710,0,733810,1653800,541280,1424800,367050,226360,60455,907720,598660,9057000,1178800,139970,770440,0,172560,1744700,0,334490,1331900,0,205030,4606200,334980,994280,712050,1265700,723200,0,0,303980,0,0,807060,343220,0
IPI00001146,LSM6 (includes EG:100360750),2810400,0,0,5462400,4147500,1213600,644690,919660,803020,2339800,0,107860,186380,1803400,2478300,1987600,0,4161600,37286,2029100,1613900,10401000,5337100,0,843250,1283900,1928600,4632900,1791700,90888,0,498640,402830,5483100,827450,56347,3513200,0,930870,2061300,1956000,34910,5066000,0,0,0,0,6663900,3792500,6174800,0,0,5869200,0,477960,251780,39081,1834200,2343000
IPI00001159,GCN1L1,288180,59302,3994600,3033100,1593300,680470,2100300,3828900,280460,319750,606610,206180,1281500,2357400,2922000,1385000,1314500,2628500,854470,1950100,805490,918760,2156400,2418300,5455600,1076200,438760,4142100,788580,311590,39637,4346500,9640800,5098600,1247900,144240,895630,397520,13040,3650800,451120,72265,261090,1351000,751600,382860,1376400,2581900,830630,5022600,1455200,311590,1312300,2787800,1879100,1765400,1926100,1071600,1338700
